"plot_id","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-090","2369/LH123HT","DG2F",5,6,387,11.53088581
"CS17-DG2F-091","NILASQ4G51I07S3/LH123HT","DG2F",5,6,385,10.86038457
"CS17-DG2F-092","NILASQ4G51I02S3/LH123HT","DG2F",5,6,383,11.74781789
"CS17-DG2F-093","2369/LH123HT","DG2F",5,6,381,11.19521786
"CS17-DG2F-094","NILASQ4G51I05S3/LH123HT","DG2F",5,6,379,11.596812
"CS17-DG2F-095","NILASQ4G51I08S3/LH123HT","DG2F",5,6,377,9.674312995
"CS17-DG2F-096","NILASQ4G51I11S2/LH123HT","DG2F",5,6,375,9.031339323
"CS17-DG2F-097","NILASQ4G51I12S2/LH123HT","DG2F",5,6,373,8.893000761
"CS17-DG2F-098","NILASQ4G51I06S2/LH123HT","DG2F",5,6,371,9.750100284
"CS17-DG2F-099","B73/PHN82","DG2F",5,6,369,11.97188761
"CS17-DG2F-100","G6611 VTTP (2017)","DG2F",5,6,367,13.22872874
"CS17-DG2F-101","B37/OH43","DG2F",5,6,365,9.992371673
"CS17-DG2F-102","PHN11_OH43_0001/PHB47","DG2F",5,6,363,8.240068807
"CS17-DG2F-103","B73/PHM49","DG2F",5,6,361,11.29568649
"CS17-DG2F-104","2369/LH123HT","DG2F",5,6,359,10.89890921
"CS17-DG2F-105","CGR03/CG108","DG2F",5,6,357,8.625799257
"CS17-DG2F-106","B37/H95","DG2F",5,6,355,10.74070756
"CS17-DG2F-107","F42/H95","DG2F",5,6,353,9.084367547
"CS17-DG2F-108","GEMN-0268/3IIH6","DG2F",5,6,351,9.037587894
"CS17-DG2F-109","PHP02/PHB47","DG2F",5,6,349,8.926323993
"CS17-DG2F-110","VA35/LH195","DG2F",5,6,347,10.67831392
"CS17-DG2F-111","DKB 64-69 (2016)","DG2F",5,6,345,15.39696379
"CS17-DG2F-112","F42/OH43","DG2F",5,6,343,10.53089452
"CS17-DG2F-113","B14A/H95","DG2F",5,7,343,11.58829705
"CS17-DG2F-114","PHG39/PHN82","DG2F",5,7,345,9.55417192
"CS17-DG2F-115","LH195/LH82","DG2F",5,7,347,9.750847062
"CS17-DG2F-116","TX714/PHZ51","DG2F",5,7,349,10.03707281
"CS17-DG2F-117","G7601VTTP (2017)","DG2F",5,7,351,13.2361477
"CS17-DG2F-118","PHN11_PHW65_0323/LH195","DG2F",5,7,353,10.44796401
"CS17-DG2F-119","PHW52/PHM49","DG2F",5,7,355,10.84343094
"CS17-DG2F-120","B73/MO17","DG2F",5,7,357,12.68054986
"CS17-DG2F-121","B97/PHB47","DG2F",5,7,359,9.723548275
"CS17-DG2F-122","LH74/PHN82","DG2F",5,7,361,10.21308786
"CS17-DG2F-123","PHB47/PHZ51","DG2F",5,7,363,9.99697696
"CS17-DG2F-124","CG44/CGR01","DG2F",5,7,365,5.733099644
"CS17-DG2F-125","WF9/H95","DG2F",5,7,367,9.475059469
"CS17-DG2F-126","PHW52/PHN82","DG2F",5,7,369,11.73823486
"CS17-DG2F-127","F42/MO17","DG2F",5,7,371,11.74446297
"CS17-DG2F-128","2369/3IIH6","DG2F",5,7,373,10.21294558
"CS17-DG2F-129","LH123HT/3IIH6","DG2F",5,7,375,9.843577752
"CS17-DG2F-130","GEMN-0260/3IIH6","DG2F",5,7,377,10.03748805
"CS17-DG2F-131","PHG29/PHG47","DG2F",5,7,379,8.701738133
"CS17-DG2F-132","LH198/PHN37","DG2F",5,7,381,9.794625188
"CS17-DG2F-133","PHP02/PHG47","DG2F",5,7,383,8.071805179
"CS17-DG2F-134","W10001_0022/PHB47","DG2F",5,7,385,7.66646134
"CS17-DG2F-135","LH195/PHN37","DG2F",5,7,387,11.02000306
"CS17-DG2F-136","2369/PHN82","DG2F",5,7,389,11.32784352
"CS17-DG2F-137","B37/MO17","DG2F",5,7,391,10.91894156
"CS17-DG2F-138","PHG39/TX205","DG2F",5,7,393,11.21049566
"CS17-DG2F-139","LH216/LH195","DG2F",5,7,395,10.39056997
"CS17-DG2F-140","LH198/PHZ51","DG2F",5,7,397,8.09826512
"CS17-DG2F-141","B14A/OH43","DG2F",5,8,397,11.67381617
"CS17-DG2F-142","BH8900VIP3111 (2016)","DG2F",5,8,395,13.23796814
"CS17-DG2F-143","B14A/MO17","DG2F",5,8,393,12.29315892
"CS17-DG2F-144","CG60/LH162","DG2F",5,8,391,4.455088329
"CS17-DG2F-145","PB80/PHZ51","DG2F",5,8,389,11.1225702
"CS17-DG2F-146","PHN11_PHG47_0251/PHB47","DG2F",5,8,387,8.543960554
"CS17-DG2F-147","B73/PHZ51","DG2F",5,8,385,10.39777038
"CS17-DG2F-148","LH212HT/LH195","DG2F",5,8,383,11.0370548
"CS17-DG2F-149","W10005_0107/PHB47","DG2F",5,8,381,9.760654686
"CS17-DG2F-150","PHG80/PHZ51","DG2F",5,8,379,9.656260121
"CS17-DG2F-151","W37A/PHB47","DG2F",5,8,377,9.290365327
"CS17-DG2F-152","REV28HR20 (2016)","DG2F",5,8,375,15.2162909
"CS17-DG2F-153","W10004_0216/PHZ51","DG2F",5,8,373,8.977552231
"CS17-DG2F-154","B73/TX775","DG2F",5,8,371,12.9610283
"CS17-DG2F-155","TX772W/LH195 ","DG2F",5,8,369,10.57212448
"CS17-DG2F-156","LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22/LH195 ","DG2F",5,8,367,12.74814119
"CS17-DG2F-157","B73/TX779","DG2F",5,8,365,11.84422342
"CS17-DG2F-158","TX714/TX779","DG2F",5,8,363,12.91541159
"CS17-DG2F-159","TX204/PHB47","DG2F",5,8,361,11.57832203
"CS17-DG2F-160","TX740/LH195 ","DG2F",5,8,359,12.73806387
"CS17-DG2F-161","2369/PHZ51","DG2F",5,8,357,9.835270659
